"Date","Price","Open","High","Low","Vol.","Change %"
"16-09-2019","5.25","5.30","5.50","5.20","63.60M","-2.78%"
"13-09-2019","5.40","5.55","5.60","5.25","73.38M","-2.70%"
"12-09-2019","5.55","5.80","6.05","5.45","110.17M","-3.48%"
"11-09-2019","5.75","5.35","5.85","5.35","108.22M","8.49%"
"09-09-2019","5.30","5.20","5.40","5.10","56.04M","2.91%"
"06-09-2019","5.15","5.10","5.40","5.10","66.91M","0.98%"
"05-09-2019","5.10","5.05","5.20","4.95","56.16M","2.00%"
"04-09-2019","5.00","5.15","5.20","4.90","53.06M","-1.96%"
"03-09-2019","5.10","5.40","5.40","5.05","58.51M","-4.67%"
"30-08-2019","5.35","4.90","5.45","4.90","126.45M","10.31%"
"29-08-2019","4.85","5.00","5.30","4.80","163.80M","-3.00%"
"28-08-2019","5.00","5.30","5.35","4.95","153.32M","-5.66%"
"27-08-2019","5.30","5.60","5.75","5.20","154.86M","-3.64%"
"26-08-2019","5.50","5.85","6.05","5.25","154.47M","-4.35%"
"23-08-2019","5.75","5.20","5.90","5.00","138.12M","8.49%"
"22-08-2019","5.30","5.55","5.75","5.20","132.54M","-5.36%"
"21-08-2019","5.60","5.80","5.80","5.50","84.35M","-4.27%"
"20-08-2019","5.85","5.95","6.20","5.45","154.63M","-2.50%"
"19-08-2019","6.00","6.40","6.45","5.85","131.62M","-6.98%"
"16-08-2019","6.45","5.65","6.85","5.40","253.50M","14.16%"
"14-08-2019","5.65","5.10","5.80","5.05","137.42M","13.00%"
"13-08-2019","5.00","5.40","5.45","4.80","169.81M","-6.54%"
"09-08-2019","5.35","5.70","5.95","5.30","137.51M","-5.31%"
"08-08-2019","5.65","5.30","5.80","5.20","151.45M","5.61%"
"07-08-2019","5.35","5.60","5.60","5.10","134.87M","-5.31%"
"06-08-2019","5.65","5.90","6.05","5.50","141.61M","-5.83%"
"05-08-2019","6.00","6.25","6.25","5.90","101.22M","-5.51%"
"02-08-2019","6.35","6.60","6.70","6.20","138.89M","-4.51%"
"01-08-2019","6.65","6.90","6.95","6.45","115.82M","-2.92%"
"31-07-2019","6.85","6.85","7.10","6.60","157.32M","5.38%"
"30-07-2019","6.50","6.85","7.05","6.00","371.10M","-3.70%"
"29-07-2019","6.75","8.75","8.90","6.55","669.68M","-27.03%"
"26-07-2019","9.25","9.70","10.00","9.10","86.26M","-4.64%"
"25-07-2019","9.70","9.95","10.15","9.65","75.42M","-2.51%"
"24-07-2019","9.95","10.50","10.65","9.85","117.81M","-5.69%"
"23-07-2019","10.55","10.85","10.95","10.45","65.51M","-1.86%"
"22-07-2019","10.75","10.90","11.00","10.65","43.64M","-1.83%"
"19-07-2019","10.95","11.45","11.55","10.70","80.66M","-3.10%"
"18-07-2019","11.30","11.95","11.95","11.20","41.70M","-5.44%"
"17-07-2019","11.95","11.75","12.50","11.65","57.44M","1.27%"
"16-07-2019","11.80","11.85","11.90","11.55","27.23M","0.43%"
"15-07-2019","11.75","11.70","12.00","11.65","24.81M","0.43%"
"12-07-2019","11.70","11.65","12.05","11.55","31.47M","0.43%"
"11-07-2019","11.65","11.30","11.80","11.25","30.84M","3.56%"
"10-07-2019","11.25","11.35","11.50","11.20","33.21M","-0.88%"
"09-07-2019","11.35","11.40","11.55","11.25","34.59M","-0.87%"
"08-07-2019","11.45","11.95","11.95","11.40","49.90M","-4.58%"
"05-07-2019","12.00","12.30","12.55","11.90","59.59M","-2.83%"
"04-07-2019","12.35","11.95","13.15","11.80","142.32M","3.35%"
"03-07-2019","11.95","11.70","12.00","11.60","29.76M","2.14%"
"02-07-2019","11.70","12.05","12.10","11.60","36.00M","-2.50%"
"01-07-2019","12.00","12.10","12.15","11.80","33.18M","-1.23%"
